recipe_id,ingredient_id,quantity,unit,optional
1106,95,10,ml,True
1106,423,20,g,True
1106,571,1,piece,False
1106,826,50,g,False
1106,956,100,g,False
1106,958,50,g,False
1106,961,100,ml,False
1034,95,20,ml,True
1034,104,100,ml,False
1034,423,20,g,False
1034,571,1,piece,False
1034,826,100,g,False
1034,956,150,g,False
1034,958,50,g,False
1034,1337,50,g,False
323,34,0.5,piece,False
323,37,1,clove,False
323,95,1,tsp,False
323,111,1,bunch,False
323,177,3,tbsp,False
323,274,1,tbsp,False
323,300,1,tbsp,False
323,301,1,tbsp,False
323,302,1,tsp,False
323,308,0.5,piece,False
323,433,1,tbsp,True
323,445,200,g,False
323,446,150,g,False
323,447,1,tbsp,True
323,448,1,tbsp,True
988,5,100,ml,False
988,6,1,pinch,False
988,37,1,clove,False
988,126,1,tbsp,False
988,531,1,piece,False
1135,5,120,ml,False
1135,6,1,pinch,False
1135,7,1,pinch,False
1135,37,3,clove,False
1135,126,15,ml,False
1135,215,5,tsp,False
1135,531,1,piece,False
960,6,1,tsp,False
960,7,0.5,tsp,False
960,13,1,cup,False
960,22,1,tsp,False
960,73,0.25,tsp,False
960,79,0.75,cup,False
960,110,1,tbsp,False
960,126,2,tbsp,False
960,128,1,tbsp,True
960,598,1,tbsp,False
69,6,1,tsp,False
69,7,1,tsp,False
69,13,1,cup,False
69,73,0.5,tsp,False
69,79,0.5,cup,False
69,125,1.5,kg,False
69,126,2,tbsp,False
69,127,2,tsp,False
69,128,1,tsp,False
984,6,1,pinch,False
984,7,1,pinch,False
984,25,60,g,False
984,37,2,clove,False
984,190,240,ml,False
984,191,100,g,False
785,13,60,ml,False
785,141,120,ml,False
785,423,50,g,False
785,759,200,g,False
785,760,150,g,False
785,761,50,g,False
785,791,100,g,False
136,2,200,g,False
136,6,1,pinch,False
136,7,1,pinch,False
136,11,1,piece,False
136,18,1,tsp,False
136,25,2,tbsp,False
136,26,1,tbsp,False
136,30,2,tbsp,False
136,37,2,clove,False
136,96,1,tbsp,True
136,115,500,ml,False
136,124,1,tsp,False
136,141,120,ml,False
136,224,500,g,False
136,225,250,g,True
2021,5,3,tbsp,False
2021,6,1,pinch,False
2021,7,1,pinch,False
2021,10,200,g,False
2021,11,1,piece,False
2021,37,2,clove,False
2021,1107,1,pinch,False
2021,1173,300,ml,False
1613,6,1,pinch,False
1613,37,2,clove,False
1613,66,1,pinch,True
1613,139,1,kg,False
1613,190,200,ml,False
1613,236,400,g,False
1950,25,125,g,False
1950,26,50,g,False
1950,29,3,piece,False
1950,128,150,g,False
1950,258,1,tsp,False
1950,312,1,tsp,False
1950,541,10,g,True
1950,1304,150,g,False
2165,6,1,pinch,False
2165,25,100,g,False
2165,312,1,tsp,False
2165,541,100,g,False
2165,742,4,piece,False
2165,832,100,g,False
2165,1176,50,g,False
1890,6,1,pinch,False
1890,25,250,g,False
1890,128,150,g,False
1890,530,4,piece,False
1890,531,6,piece,False
1890,541,150,g,False
1890,1176,50,g,True
1890,1304,150,g,False
1504,6,1,pinch,False
1504,7,1,pinch,False
1504,25,50,g,False
1504,26,2,tbsp,False
1504,96,1,bunch,True
1504,168,1,piece,True
1504,1175,4,piece,False
1504,1176,100,g,False
1881,6,1,pinch,False
1881,25,40,g,False
1881,26,30,g,False
1881,128,50,g,False
1881,530,1,piece,False
1881,1176,30,g,False
2115,6,1,pinch,False
2115,14,100,g,False
2115,25,50,g,False
2115,26,250,g,False
2115,29,1,piece,False
2115,30,500,ml,False
2115,66,1,pinch,False
2115,80,100,ml,False
2115,139,500,g,False
2115,190,100,ml,False
2115,236,100,g,False
2115,242,1,pinch,False
2115,341,200,g,False
2087,18,2,tbsp,True
2087,30,1,tbsp,False
2087,80,2,cup,False
2087,306,1,slice,True
2087,359,300,g,True
2087,1394,6,piece,False
1697,6,1,tsp,False
1697,25,50,g,False
1697,26,250,g,False
1697,29,3,piece,False
1697,66,1,pinch,True
1697,80,150,ml,False
8150,5,50,ml,False
8150,6,1,pinch,False
8150,7,1,pinch,False
8150,10,3,piece,False
8150,11,1,piece,False
8150,37,3,clove,False
8150,87,1,pinch,False
8150,96,10,leaf,False
8150,101,1,tsp,False
8150,113,1,piece,False
8150,167,5,leaf,False
8150,168,1,piece,False
8150,231,100,ml,False
8150,1674,1,kg,False
8129,26,50,g,False
8129,128,150,g,False
8129,530,2,piece,False
8129,1319,200,g,False
8129,1768,1,tsp,True
7801,5,3,tbsp,False
7801,6,1,pinch,False
7801,11,1,piece,False
7801,37,2,clove,False
7801,66,1,pinch,False
7801,80,1,l,False
7801,96,1,bunch,False
7801,126,2,tbsp,False
7801,167,1,bunch,False
7801,516,4,piece,False
7801,2568,250,g,False
7709,5,4,tbsp,False
7709,6,1,pinch,False
7709,11,1,piece,False
7709,37,2,clove,False
7709,66,1,pinch,False
7709,96,1,bunch,False
7709,167,1,bunch,True
7709,168,1,piece,False
7709,231,150,ml,False
7709,516,8,piece,False
7286,5,4,tbsp,False
7286,6,1,pinch,False
7286,7,1,pinch,False
7286,11,1,piece,False
7286,37,2,clove,False
7286,80,1.5,l,False
7286,167,1,bunch,False
7286,772,250,g,False
8253,5,5,tbsp,False
8253,6,1,pinch,False
8253,10,2,piece,False
8253,33,0.5,piece,False
8253,37,3,clove,False
8253,66,1,pinch,False
8253,102,4,piece,False
8253,126,50,ml,False
8253,139,600,g,False
8253,144,2,tsp,False
8253,167,1,tbsp,False
8253,308,1,piece,False
8253,511,100,g,False
8253,682,200,g,False
8253,3039,15,piece,False
8181,5,2,tbsp,False
8181,6,1,pinch,False
8181,7,1,pinch,False
8181,37,2,clove,False
8181,101,1,tsp,False
8181,126,2,tbsp,True
8181,191,50,g,False
8181,232,400,g,False
8181,279,1,bunch,True
8181,308,100,g,True
8181,442,250,g,False
8181,487,100,g,True
8181,1818,100,g,True
8181,3189,200,g,False
7761,5,100,ml,False
7761,6,1,tsp,False
7761,26,500,g,False
7761,80,700,ml,False
7950,5,100,ml,False
7950,6,1,pinch,False
7950,26,100,g,False
7950,29,4,piece,False
