recipe_id,recipe_name,status,pixabay_url,local_path
af338fa3-e099-552d-97ca-7ab5e00aa273,German Vegetable Curry 003,already_exists,,recipe_images\af338fa3-e099-552d-97ca-7ab5e00aa273.jpg
42ae88b8-d45f-5940-b31f-8cb3f958a230,Chinese Breakfast Porridge 007,already_exists,,recipe_images\42ae88b8-d45f-5940-b31f-8cb3f958a230.jpg
18aa4bfa-91fd-5dad-af35-2a3da879c176,Indian Pasta Bake 006,already_exists,,recipe_images\18aa4bfa-91fd-5dad-af35-2a3da879c176.jpg
8fea376c-57a4-57aa-90cc-760c79586769,British Bean Salad 005,already_exists,,recipe_images\8fea376c-57a4-57aa-90cc-760c79586769.jpg
eada151f-e3bf-5df3-829d-ee4ee9eb8c3c,American Grilled Fish Plate 004,already_exists,,recipe_images\eada151f-e3bf-5df3-829d-ee4ee9eb8c3c.jpg
d89cd215-a204-5951-ac47-5cf543832def,Middle Eastern Tofu Stir Fry 009,already_exists,,recipe_images\d89cd215-a204-5951-ac47-5cf543832def.jpg
c77c7a84-3592-5065-90ba-205ae858d8d6,Japanese Quick Soup 008,already_exists,,recipe_images\c77c7a84-3592-5065-90ba-205ae858d8d6.jpg
f7f7dd06-3b7b-5dad-afdc-1b2f580106bd,French Rice Bowl 002,already_exists,,recipe_images\f7f7dd06-3b7b-5dad-afdc-1b2f580106bd.jpg
ff18f9c5-f204-5cda-aa64-e64af3caadfd,Cameroonian Stew 001,already_exists,,recipe_images\ff18f9c5-f204-5cda-aa64-e64af3caadfd.jpg
32eb07f5-18c6-5b60-810f-b51c8814dc51,Mexican Spiced Meat Platter 010,already_exists,,recipe_images\32eb07f5-18c6-5b60-810f-b51c8814dc51.jpg
585ca70e-89d9-52c7-b5cd-710a3e333429,Italian Stew 011,already_exists,,recipe_images\585ca70e-89d9-52c7-b5cd-710a3e333429.jpg
43c0043a-3e0e-57a0-b265-40007f2c9ea1,French Grilled Fish Plate 014,already_exists,,recipe_images\43c0043a-3e0e-57a0-b265-40007f2c9ea1.jpg
01e74ca0-7483-550a-810e-b38e4d23aa65,German Bean Salad 015,already_exists,,recipe_images\01e74ca0-7483-550a-810e-b38e4d23aa65.jpg
b1890d52-6aaf-5dc3-8730-845ff8207380,Cameroonian Vegetable Curry 013,already_exists,,recipe_images\b1890d52-6aaf-5dc3-8730-845ff8207380.jpg
86242496-9cba-50f8-a6b2-f8c71a427b01,Indian Quick Soup 018,already_exists,,recipe_images\86242496-9cba-50f8-a6b2-f8c71a427b01.jpg
c808e2ee-2df8-52b0-96e8-72e274898ef8,American Pasta Bake 016,already_exists,,recipe_images\c808e2ee-2df8-52b0-96e8-72e274898ef8.jpg
437e2340-6a5f-576f-bdd6-98c081ebf0df,British Breakfast Porridge 017,already_exists,,recipe_images\437e2340-6a5f-576f-bdd6-98c081ebf0df.jpg
98d21c92-730c-55a0-b3a3-2ae2d5208006,West African Rice Bowl 012,already_exists,,recipe_images\98d21c92-730c-55a0-b3a3-2ae2d5208006.jpg
1273cfba-3594-5172-9333-f5cedf9a413c,Chinese Tofu Stir Fry 019,already_exists,,recipe_images\1273cfba-3594-5172-9333-f5cedf9a413c.jpg
819550a5-f7fb-596d-8767-0eb725333379,Japanese Spiced Meat Platter 020,already_exists,,recipe_images\819550a5-f7fb-596d-8767-0eb725333379.jpg
91fcdfe4-41e1-5ac9-b5dc-3d509eaebf2e,Middle Eastern Stew 021,already_exists,,recipe_images\91fcdfe4-41e1-5ac9-b5dc-3d509eaebf2e.jpg
8df81324-213b-5113-84f3-3e6aac96a900,Cameroonian Bean Salad 025,already_exists,,recipe_images\8df81324-213b-5113-84f3-3e6aac96a900.jpg
00341841-2e2b-5cb1-96e7-c23e6ed1b480,French Pasta Bake 026,already_exists,,recipe_images\00341841-2e2b-5cb1-96e7-c23e6ed1b480.jpg
1711a164-ee06-57bb-85ea-5104c2c2bd03,German Breakfast Porridge 027,already_exists,,recipe_images\1711a164-ee06-57bb-85ea-5104c2c2bd03.jpg
e30e3ea3-c3eb-59a4-821b-7bc227d09ec3,American Quick Soup 028,already_exists,,recipe_images\e30e3ea3-c3eb-59a4-821b-7bc227d09ec3.jpg
7ff8d512-4a55-5209-ac0d-6d4f26bbdd97,British Tofu Stir Fry 029,already_exists,,recipe_images\7ff8d512-4a55-5209-ac0d-6d4f26bbdd97.jpg
98286064-a637-5c54-8164-54212ae79c78,Indian Spiced Meat Platter 030,already_exists,,recipe_images\98286064-a637-5c54-8164-54212ae79c78.jpg
043302cf-d270-58e9-a9d3-7db76d500907,Chinese Stew 031,already_exists,,recipe_images\043302cf-d270-58e9-a9d3-7db76d500907.jpg
b7efa4e1-71ab-5cea-a024-41b731e87ae7,West African Grilled Fish Plate 024,already_exists,,recipe_images\b7efa4e1-71ab-5cea-a024-41b731e87ae7.jpg
3440e5c1-0630-595f-bd00-c9eb7f07d6f0,Mexican Rice Bowl 022,already_exists,,recipe_images\3440e5c1-0630-595f-bd00-c9eb7f07d6f0.jpg
be590217-d860-5ed2-8f87-1ee6b05aa805,Italian Vegetable Curry 023,already_exists,,recipe_images\be590217-d860-5ed2-8f87-1ee6b05aa805.jpg
6fd2fad9-07a9-583f-aaa5-f82afb488c80,Japanese Rice Bowl 032,already_exists,,recipe_images\6fd2fad9-07a9-583f-aaa5-f82afb488c80.jpg
28c2543d-195a-54d0-890b-eb2eb66138e3,Middle Eastern Vegetable Curry 033,already_exists,,recipe_images\28c2543d-195a-54d0-890b-eb2eb66138e3.jpg
68e7aa11-816a-5dce-b834-02748c215030,Cameroonian Breakfast Porridge 037,already_exists,,recipe_images\68e7aa11-816a-5dce-b834-02748c215030.jpg
ded7c82c-c6b2-522f-a435-4f55c106d89c,Italian Bean Salad 035,already_exists,,recipe_images\ded7c82c-c6b2-522f-a435-4f55c106d89c.jpg
fb528195-eac0-5b80-8ad8-89c01c29734c,American Spiced Meat Platter 040,already_exists,,recipe_images\fb528195-eac0-5b80-8ad8-89c01c29734c.jpg
9c4383cd-d3b6-5a13-9f30-f82107fba083,Mexican Grilled Fish Plate 034,already_exists,,recipe_images\9c4383cd-d3b6-5a13-9f30-f82107fba083.jpg
8bd1718b-9add-568b-bce1-d8b8c9e53e43,French Quick Soup 038,already_exists,,recipe_images\8bd1718b-9add-568b-bce1-d8b8c9e53e43.jpg
73000328-20fa-5dde-a510-1a4830684fcc,German Tofu Stir Fry 039,already_exists,,recipe_images\73000328-20fa-5dde-a510-1a4830684fcc.jpg
3db6df4a-a532-5f82-bb6a-65420cd182d7,West African Pasta Bake 036,already_exists,,recipe_images\3db6df4a-a532-5f82-bb6a-65420cd182d7.jpg
3a51c16d-c7bc-5bb0-b54b-8c5503992f07,British Stew 041,already_exists,,recipe_images\3a51c16d-c7bc-5bb0-b54b-8c5503992f07.jpg
ea0d9f67-77df-5abd-bc9e-b528d9ff7c9c,Indian Rice Bowl 042,already_exists,,recipe_images\ea0d9f67-77df-5abd-bc9e-b528d9ff7c9c.jpg
a7ec68e4-7742-5922-ab60-d342acc613ba,Chinese Vegetable Curry 043,already_exists,,recipe_images\a7ec68e4-7742-5922-ab60-d342acc613ba.jpg
8d97ae0c-fa57-5385-b309-1e5ac0ea7754,Middle Eastern Bean Salad 045,already_exists,,recipe_images\8d97ae0c-fa57-5385-b309-1e5ac0ea7754.jpg
bf18b86e-b36a-5c84-819d-67967869857c,West African Quick Soup 048,already_exists,,recipe_images\bf18b86e-b36a-5c84-819d-67967869857c.jpg
e6b94189-83f2-5129-a3f9-030852ded50c,Italian Breakfast Porridge 047,already_exists,,recipe_images\e6b94189-83f2-5129-a3f9-030852ded50c.jpg
956be575-de2a-5a03-bc28-0f1017e6d7c7,Japanese Grilled Fish Plate 044,already_exists,,recipe_images\956be575-de2a-5a03-bc28-0f1017e6d7c7.jpg
2c1fdf9d-ed0e-5d1a-912c-2a75765f4ea5,Cameroonian Tofu Stir Fry 049,already_exists,,recipe_images\2c1fdf9d-ed0e-5d1a-912c-2a75765f4ea5.jpg
380a1638-c1f8-50b4-b993-bf51c4fb5a03,American Rice Bowl 052,already_exists,,recipe_images\380a1638-c1f8-50b4-b993-bf51c4fb5a03.jpg
7b8bcc0d-b8d9-5577-87d8-5ddeaa424f38,French Spiced Meat Platter 050,already_exists,,recipe_images\7b8bcc0d-b8d9-5577-87d8-5ddeaa424f38.jpg
